,Name,Overall_Rating,Food_Rating,Service_Rating,Ambience_Rating,Dined_Date,Reviews
93,JimmyG,5,5,5,5,45482,Food is amazing. service wonderful and attentive.  A bit noisy for my taste but the energy is real.
94,OpenTable Diner,5,5,5,5,45480,Amazing food and service. Beautiful setting and great atmosphere.
95,OpenTable Diner,3,1,1,3,45479,"A little disappointing as we decided to spend our 11 year anniversary at one at our favorite restaurants.🍝

Table wasn’t prepared, even though I made a note of our anniversary a while ago ￼￼(last second signage, no candle, etc)🥺😩

We never received bread until we asked for it after the food came and when we did it was cold (at this point I’m unsure if it’s suppose to be warm or cold due to inconsistencies) 🤷🏾‍♂️

My order was over cooked, with mushy pasta and a hard ￼boiled egg. 🥚

Please note this review is only from our experience specifically last night. We love Carmines and the staff  ❤️"
96,GustavoD,5,5,5,5,45479,"The occasion was just a date lunch with my wife. This was our first time here and we loved the place. Every thing was right. The food options were plenty, food was great, service attentive. We definitely will be coming back."
97,karanD,5,5,5,5,45478,Always great food always great service would highly recommend it
98,Stone,5,5,5,5,45477,Fantastic food and timely service. Knowable wait staff.
99,Luv2eatout,5,5,5,5,45473,Food and service were outstanding as always.  Our favorite restaurant on the Eastside.
100,HinaP,5,5,5,5,45472,We had a wonderful family dinners at Carmines Bellevue - Steven and the team did an excellent job.  We shall return!
101,kcfoodie,5,4,5,5,45470,"We had a lovely dinner to celebrate a birthday. The service is beyond excellent. The food is also extraordinary. However, I ordered a dish with squid pasta and decidedly did not like it. I didn’t notice it on the menu, but I wish I would have been ordered a choice of pasta to alert me it was different. Not only did I not enjoy the taste but it was soggy and had a distinct smell. I should say emphatically that everyone else had an outstanding meal!"
102,OpenTable Diner,5,5,5,5,45469,"Carmines never disappoints.  Always fresh, super clean, excellent service, and outstanding food.  Love the place!"
103,OpenTable Diner,5,5,5,4,45465,"Great food , excellent service. Specials little bit too expensive . Overall one of the better places in Bellevue."
104,OpenTable Diner,5,5,5,5,45465,"Alfredo, our server is the best
Food was outstanding!
Everything = perfect!"
105,Scotchmo,5,5,3,4,45465,The patio table near the bar is a great people watching spot … but only having the bartender as server and mixologist led to some delays in ordering and attentive service. A slight adjustment to having at least one busboy checking more often could help. The food was delicious; the cauliflower gratine was superb; an excellent lunch; looking forward to returning.
106,OpenTable Diner,5,5,5,5,45462,Absolutely amazing Service and Food .. all positive…
107,OpenTable Diner,5,5,5,4,45461,Great place to celebrate graduation! Server was great. Didnt feel rushed at all. Enjoyed the evening.
108,Ampetrin,5,5,5,5,45461,"We had 3 different specials, all delicious.  Beautiful comfortable patio !"
109,Melif1221,5,5,5,5,45461,The salmon risotto special was amazing. I also enjoyed the beet salad.
110,munirag,5,5,5,5,45457,"Celebrated our 32 yr anniversary. Fantastic food, wine and service. Carmine’s never disappoints!! Outstanding"
111,RodF,5,5,5,5,45456,Just a perfect place to have dinner in old town Bellevue.
112,JosephO,5,5,5,5,45455,"Our steak was a bit underdone, they offered to redo it. We declined so they comped us dessert.
Very loud where we were seated!"
113,KristieT,5,5,5,5,45452,"From the time we step into the restaurant, we had excellent service. Our server was very nice and helped us make good decisions ordering since it was our first time there. The food was delicious and homemade pasta was delicious! Since it was my birthday they gave me a slice of tiramisu for dessert which was perfect for the two of us after our meal because the portions were filling. We said we will definitely go back."
114,pickyeater,4,4,3,2,45448,We were at Carmine’s to celebrate a special birthday. The team did a lovely job of making the celebrant feel special. Food and service was solid as always.
115,Biztravlr,5,5,5,5,45443,"Excellent service, food, reasonably priced for upscale Italian fare. Highly recommended!"
116,michaelm,4,4,5,4,45442,"Great place as always!
Thought food was a bit ""down"" this visit.
Service was impeccable as always

Getting a bit pricey !!!
Dinner for 2 with one glass of wine , over $400 !!!!!!!"
117,OpenTable Diner,5,5,5,5,45442,"One of my favorite restaurants — food, service and experience is always excellent."
118,OpenTable Diner,5,5,5,5,45441,"Great service, consistent quality in food and vast wine selection."
119,OpenTable Diner,5,5,5,5,45441,Waiting time was good - did not have to wait long.  Food was delicious and satisfied with service. Will dine again at Carmine’s Bellevue
120,OpenTable Diner,5,5,5,5,45438,We went here for our anniversary and the service was amazing! The atmosphere felt like we were at some famous NY Restaurant! All the food was great and the people were great! We will definitely come back!
121,ShannonS,5,5,5,5,45435,"Always a fantastic experience at Carmine's! I made a reservation for 2 and ultimately showed up with 3...no problem at all and we were immediately accommodated. The food is consistently beautiful AND delicious, and always an amazing set of specials so that I rarely end up ordering off of the menu. Thank you for always creating the perfect experience whether for business or pleasure!"
122,OpenTable Diner,5,5,5,5,45434,"Great experience!  Wonderful attentive staff.  Excellent food presentation, taste and smell.  A bit on the high side but you certainly get what you pay for on this case."
123,OpenTable Diner,5,4,5,5,45434,"The food is delicious with a luxurious atmosphere, so we usually visit every anniversary."
124,IronChefMoosimoto,5,5,5,5,45432,"Great food, with great specials beyond the regular menu, and excellent service."
125,OpenTable Diner,5,5,5,5,45430,"Nice restaurant, greeting, service, and food. Enjoyable dining experience"
126,DumpTruck,4,5,4,5,45430,"Great food and service, but watch the wine recommendations. Told the first waiter we wanted a bottle at $100 or less and when the bill came it was $140."
127,Bill,5,5,5,5,45430,Outstanding service today. Our waitress was the best. Keep us updated on the specials.
128,OpenTable Diner,5,5,5,5,45429,Just outstanding.  The best of the best.  Mamma Mia.
129,OpenTable Diner,5,5,5,5,45427,Pleasant atmosphere and amazingly attentive staff. A very rich wine list. There are only pleasant thoughts left.
130,JWo888,5,5,5,5,45426,"We enjoyed lunch with wonderful service to celebrate a friend’s birthday.  Each of the items that we ordered was delicious: panzanella salad, lentil soup, minestrone soup and eggplant parmigiana.  Carmine’s is one of my favorite restaurants, because the food and service are always outstanding."
131,johnm,5,5,5,5,45425,"Food was excellent as always. Matthew, our server, was extremely knowledgeable."
132,tomw,5,5,5,5,45425,"We choose Carmine's for all the special occasions. We went for Mother's Day and everything was superb (as always). Our server, Ron was so wonderful. He was so attentive and so kind to our 9-year-old son. After we ordered wine, our son wanted a soda, but we wouldn't allow another sugary drink since he already had one during the day. Ron suggested some lemon wedges to put in his water to make it extra special & that did the trick, our son was thrilled.

Ron told us about the daily specials and made great recommendations. I mentioned that I wanted to try something new since I always get the crab risotto or the veal. Ron said the halibut was really good, and that they do halibuts really well. It came with on a bed of parmesan risotto with saffron sauce and some veggies. I love their risottos (crab, lobster etc) so I decided on this dish, my husband followed. We absolutely loved it! If you love caesar salad like we do, Carmine's have one of the best caesars around! The dressing has a hint of green like pesto, makes it extra special. They always make up a special plate (kids portion) for our son (spaghetti with one big meatball). They are pretty good about making up a special plate that is not on the menu. Our son once wanted a pepperoni pizza and they made it for him.

We just love this place! Thanks for making our Mother's Day meal special Ron!"
133,DianeKK,5,5,5,5,45421,Everyone here was gracious and wonderful to work with. The food was superb and the ambience magnificent!
134,Amanda,5,5,5,5,45419,"Excellent burrata special. Delicious! The food and service are always great. Lunch if 2 salads, an appetizer and 2 glasses of wine for $185 is a bit much."
135,OpenTable Diner,5,5,5,5,45417,"Food and service are excellent and genuine.  I appreciated the unenforced tips policy.  With such classy and genuine services, I am happy to tip above average to show my party’s appreciation.  It’s a pleasure to dine and entertain at Carmine’s each and every time."
136,OpenTable Diner,2,2,2,4,45415,We didn’t quite enjoy our lunch. We came in with high expectation and both service and dishes were not meeting it.
137,Opentablediner,5,5,5,5,45415,"food service atmosphere, all top shelf.
they don’t advertise.. they don’t need to .. those in the know , know.
Hard to get a reservation.. book ahead"
138,oliver,5,5,5,5,45415,"One of the best restaurants on the West Coast. Service that makes you feel special, food that brings you straight back to Italy."
139,JoeW,5,5,5,4,45415,"The food is outstanding, the service was great.  Nice Restaurant and has always been good!"
140,OpenTable Diner,5,5,5,5,45415,"The best restaurant on the east side and potentially in all of the city. I love it here. Feels like home, delicious food, elegant and non obtrusive service, in a beautiful setting. Not much more you can ask for."
141,Bluewa,5,5,5,5,45414,"Luxury dining experience.
Everything is to the nines.
Serene"
142,SteveD,5,5,4,3,45413,"The food is consistently good.  (The Bellevue location is every bit as good as Pioneer Square).  The only thing I would fault is that the service seemed a bit rushed.  It wasn't because they needed the tables, I was eating late.  But I don't expect to be out of there in an hour when I am eating food of that quality."
143,Erinb,4,5,5,5,45412,"Lovely, though front of house experience was not fluid…"
144,OpenTable Diner,5,5,5,5,45408,"Everything was perfect the food the ambiance @ specially the waiter Jeff he was super good. 
And the gesture of the restaurant when they know it’s our anniversary. I recommend the restaurant it’s a 5 stars."
145,OpenTable Diner,1,1,2,2,45407,"$75 for a lobster pasta?! It was the special (price was not mentioned - shame on us for not asking, I guess)."
146,OpenTable Diner,4,4,5,4,45407,"Food and service were wonderful as
Always. Great place for a late lunch. ￼"
147,cyjg,5,5,5,5,45406,"Fantastic!  From start to finish!  Bravo!
Food, service, ambiance.  My favorite"
148,BobChamp,5,5,5,5,45406,"Great restaurant
Server was excellent
Food was great"
149,CesarK,5,5,5,4,45405,"Best Italian in the eastside. Great, food and service!"
150,OpenTable Diner,5,5,5,5,45402,"Amazing food, great service. Halibut was cooked to perfection. Served made great suggestions!"
151,madison1223,1,1,1,4,45401,Server very pushy and intense. No time to even chat - like we had to know what to order almost immediately with him coming back within a few minutes. Was there for a business meeting and it was not productive with the constant nagging. I won’t return. This used to be a favorite.
152,OpenTable Diner,5,5,5,5,45400,"Best restaurant in the PNW, very consistent and the best service in Seattle"
153,OpenTable Diner,5,5,5,4,45400,"First time eating here and the experience was great. Matthew was our waiter and he was on point, very thorough, attentive and polite."
154,SusanB,5,5,5,5,45399,"Our first time at Carmine's after hearing glowing comments from others. Did not disappoint. It was a birthday for us and Carmine's staff helped us feel special in our celebration. We had a truly delicious meal, outstanding service and great recommendations from our server. Will definitely dine at Carmine's again....we live an hour away...and only wish we lived closer."
155,DanielD,5,5,5,5,45399,If you are a fan of Il Terrazzo in Seattle you will be excited to discover a very similar experience in Bellevue.
156,OpenTable Diner,5,5,5,4,45399,Just too noisy -& wanted to be on at area but was told that we had to connect with the restaurant directly but we loved Carmines so it’s all good
157,JillG,5,5,5,5,45396,"Fantastic food, atmosphere and service! Ally was our waitress and she was INCREDIBLE!  She made the birthday celebration extra special!!!"
158,OpenTable Diner,4,4,1,4,45395,Service was a bit slow and not the best for the price.
159,OpenTable Diner,3,5,1,2,45395,The food is amazing. The service was not. There was a wedding party of 40 which created a tremendous amount of noise and our waiter focused his attention on them and neglected us. Very disappointed for our first time there.
160,BobS,5,5,5,5,45394,One of my favorites in Bellevue. Excellent for business lunches and evening dining with friends.
161,KevinN,5,5,5,4,45391,Loud but great food and service. We definitely would go back.
162,jane,5,5,5,5,45389,"As usual, the food and service did not disappoint.  This is why we continue to return."
163,anne,5,5,5,4,45387,Waiters have knowledgeable recommendations and want you to enjoy yourself. The food is always great and tried a new dessert.  An Italian vanilla cake w marscapone and meringue on top.  Great and unusual!
164,OpenTable Diner,5,4,5,5,45387,"Reservation wasn't easy they seem to be booked up for many of the times w tried to reserve.
Parking is a bit confusing but worked very well once figured out, you enter from a side street and they validated no issue.
Seated quickly and wait staff was great and very quick to refill beverages.
Food was good "" Osso Buco"" is what we came for and it was good but I wouldn't order it again and the others at the table said the food was good too. "" Good too"" is another way of saying OK however not amazing! The prices are a little pricey but we have paid more for worse.
We give the highest marks to the wait staff....Attention to detail was amazing.
After about an hour it did get noisy in our opinion.
The best way for us to reward a restaurant is to say WE WILL BE BACK,"
