Name,Overall_Rating,Food_Rating,Service_Rating,Ambience_Rating,Dined_Date,Reviews
Jennifer,3,3,3,4,2024-08-23,"Lunch for my friend's birthday with her elderly mother from out-of-town. Expectations were high based on past dining experiences. We had La CapreseBuffala mozzarella for appetizer, tomatoes were heirloom quality, their house bread (with the perfect chew factor IMO) was offered multiple times,  although I wished it was warmed, the butter was soft; the best part of lunch was the d Cream of cauliflower Gratinée, delicious, flavorful, rich, but not overly so. Entrees were Clam Linguine, with a generous portion of clams, Caesar Salad, nicely prepared and Spaghetti Ortolano, was lackluster, I think they forgot to toss in the olive oil.  The two desserts were both worth every bite: tiramisu (in fact I took an additional slice home) and lemon meringue was Instagram worthy. 

Lunch is not usually the best showing for any fine restaurant and that needs to be taken into consideration. The restaurant itself is impeccably cared for, clean, bright, beautiful. The experience was not as hoped for, no mention of celebrating a special occasion, even though I had noted it. I will say the owner called me after I left a note about the experience and I do believe this less than 5 star experience was an anomaly. I will go back and still cannot think of another restaurant in Seattle that I'd rather have a special meal."
OpenTable Diner,5,5,5,5,2024-08-22,We celebrated our Anniversary. Carmine’s was a great choice!
OpenTable Diner,5,5,5,5,2024-08-22,"I highly recommend this establishment, everything is very tasty and beautiful"
Ania,5,5,5,5,2024-08-22,Exquisite experience. I heard they’re opening a new downtown Seattle location on 5th and Pike. Can’t wait for that.
Susie,5,5,5,5,2024-08-20,Oh my God Carmine’s is always so noisy when it’s full of fabulous people. Our waitress Kat was amazing super sweet food was delicious as always.
Jeffrey ,5,5,5,5,2024-08-20,"Carmines in Bellevue is excellent.  We had a dinner reservation just as they opened for dinner.  They grew very busy throughout our dinner, but service did not diminish.  Food and beverage was excellent, aw was location and price. We were there for our anniversary, but will return before the next one."
Dee,5,5,5,5,2024-08-18,"We came here for my friends bachelorette party…
SERVICE: Impeccable. They were able to change my reservation and squeeze us in at an earlier time. They had a congratulations card waiting for her at the table. The staff were all congratulating her throughout the night. And they brought her a complimentary piece of tiramisu cake with Congratulations written in cursive with chocolate 
FOOD: Delectable. Their pastas were delicious and the dessert 10/10. I had the pesto fettuccini with prawns and devoured my meal
AMBIENCE: Romantically Elegant. I recommend this for dates, celebrations, special occasions, birthdays. Candle and fresh flowers at the tables."
karan,5,5,5,5,2024-08-16,Always great food and service they cannot do enough for you
RebeccaS,5,5,5,5,2024-08-11,"The ambiance was beautiful, the service first class and food was delicious with reasonably priced dishes for a special night out."
Brent,5,5,5,5,2024-08-10,Super great waiter. Food was outstanding. Great experience overall!
Lynn,4,5,5,4,2024-08-10,Carmines delivers an elegant setting with wonderful service! I love the daily fresh specials that are recommended by the waiters. The homemade dessert selection was amazing as are the wine pairings.
Michael,5,5,5,5,2024-08-09,"Outstanding service and food.  Very pricey, however, it was a special occasion."
Cathy,5,5,5,4,2024-08-06,Carmine’s is first class dining all the way.  Our server was outstanding…the food was amazing.  However…sitting inside is LOUD.  And I’d love a hint on how to reserve a good table on a Monday evening — in the notes I wrote this was a BIG birthday for me and the first table we were shown was marginal at best in a walk way…we settled on a table still in a walk way and servers without apology kept bumping into my chair….sigh.
JeanneB,5,5,5,5,2024-08-03,"Dinner was superb ! Absolute perfection from start to finish. What a wonderful way to celebrate my birthday!
Thank you Steven for being such an attentive and professional wait person."
Teresa,4,5,5,3,2024-08-03,"Excellent food and good service.  However - don’t go if it’s a hot day in Bellevue. Inside the dining room was so uncomfortably hot, it took away our appetite.  (Apparently they have no AC.).  Typically at this restaurant, we give all 5 star reviews.  This was definitely NOT our normal experience at Carmine’s."
Steve,3,3,3,4,2024-08-03,"A frequent diner at Carmines. This trip was really average.  Felt like server was in a big hurry, gluten free pasta not good.  Super Tuscan wine was outstanding.  Felt very overpriced for the quality of the meal."
OpenTable Diner,5,5,5,5,2024-08-03,"The service, quality of the food, thoughtful preparation and taste were exceptional.  Our server, Alberto G, made our day even more special with amazing service and a great personality."
MeganD,5,5,5,5,2024-07-30,"Dinner was lovely and our entire experience was fabulous. We had the cioppino, veal scallopine, lobster special and the rigatoni bolognese and all were excellent. Service was also superb led by Matthew!  Thanks to the entire team at Carmine’s for making a special occasion even more remarkable."
IvanB,5,5,5,5,2024-07-30,Just excellent! You won't be disappointed with a meal here!
Lkelly616,5,5,5,5,2024-07-26,"Carmine's was excellent as usual!  The ambiance is inviting, the food was delicious and the service
was very attentive!  Went there with 3 friends to celebrate one of their birthdays.  We all enjoyed our meals very much.  The eggplant parmegiana, the salmon special and a shrimp dish were all expertly prepared and presented.  The complementary piece of Tiramisu to celebrate my friend's birthday was a nice gesture too."
MarisaB,4,3,5,4,2024-07-21,"Could be better.
I guess the restaurant is so famous that is not trying to be better.
Service was good although hostess was on the phone for 3 minutes or more while we were waiting.
Veal meat was not tender, that dish needs to get better."
JaiV,5,5,5,5,2024-07-20,"It was the perfect setting for a summer birthday celebration for our family.The service was exceptional especially by our server Alexei, and we will definitely be back!"
DavidS,5,5,5,4,2024-07-20,A bit noisy and proxy but excellent food and service
OpenTable Diner,5,5,5,5,2024-07-19,"Absolutely amazing, to be honest for the price the atmosphere, location and food it was well worth any check. Would definitely recommend 100% to anyone who loves fine dining and a great atmosphere. Will be going back."
ChristineA,4,3,5,3,2024-07-17,"Update to my initial review….Roberto from the restaurant followed up from my poor review and experience and expressed that they wanted to make it right.  They credited the meal off my bill and offered a gift card on my next visit.  This was certainly great customer follow thru and they went above and beyond to show they really care. Thank you to Roberto and Carmines on great customer service!

Initial review….I ordered the double bone-in pork chop and it was very dry!  I was very disappointed in the quality."
OpenTable Diner,5,5,5,5,2024-07-17,Our server Matthew was exceptional.  Everything was top notch.
oliver,5,5,5,5,2024-07-16,"MY FAVORITE RESTAURANT IN THE UNITED STATES! Seriously, you cannot find better service, better food, better ambience elsewhere. Praise be to this institution."
Julia,5,5,5,5,2024-07-16,"An amazing experience from the moment you enter through the beautiful patio. We were greeted warmly and seated immediately. Our server was extremely knowledgeable and offered many great suggestions for myself as I am gluten and diary free. 

The decor makes me feel like I am in Italy! Super romantic. Great for a date night or celebrations with friends and family. I noticed a lot of large parties on a Monday evening. Even the bar was packed. Loved my experience here and cannot wait to try out their other restaurants in Seattle. Thank you for making my boyfriend's birthday so special!"
OpenTable Diner,5,5,5,5,2024-07-16,The best restaurant on the east side. Carmine’s never disappoints. We truly love our dining experience here
Mark,4,5,4,4,2024-07-16,"The bartender was amiable and immediately inquired whether we wanted just drinks or dinner too. We were waiting for our table so we just had drinks. When we finished them, we returned to the host stand and were promptly seated. The service was good. The food was delicious. I asked the server about a dessert cheese plate I saw online. She confirmed they would be able to accommodate me. We had a melon with prosciutto, salad, soup, lobster risotto instead of crab, cioppino, key lime pie, the cheese plate and then tiramisu with a candle for her birthday."
Edward,5,5,5,5,2024-07-14,"This is one of our most favorite restaurants, the food and service is always outstanding."
OpenTable Diner,5,5,5,5,2024-07-14,Carmine’s is my wife and my go to for celebrating special occasion’s.  Everything is always top notch.
GregB,5,5,5,5,2024-07-13,The service and food was excellent as always. One of the very best restaurants.
OpenTable Diner,3,2,3,5,2024-07-13,"I invited several friends.  I wasn’t impressed but the special risotto.  It was salty, the meat was tough, and the consistency wasn’t to standard. Very disappointing.  I hardly touched my plate.  The bread is good.  Appetizer shrimp was great.  The rest of the food was an agree."
OpenTable Diner,5,5,5,5,2024-07-11,Food and service are always impeccable. We will be back.
OpenTable Diner,5,5,5,4,2024-07-10,I am always pleased with the food and always great service.
JimmyG,5,5,5,5,2024-07-09,Food is amazing. service wonderful and attentive.  A bit noisy for my taste but the energy is real.
OpenTable Diner,5,5,5,5,2024-07-07,Amazing food and service. Beautiful setting and great atmosphere.
OpenTable Diner,3,1,1,3,2024-07-06,"A little disappointing as we decided to spend our 11 year anniversary at one at our favorite restaurants.🍝

Table wasn’t prepared, even though I made a note of our anniversary a while ago ￼￼(last second signage, no candle, etc)🥺😩

We never received bread until we asked for it after the food came and when we did it was cold (at this point I’m unsure if it’s suppose to be warm or cold due to inconsistencies) 🤷🏾‍♂️

My order was over cooked, with mushy pasta and a hard ￼boiled egg. 🥚

Please note this review is only from our experience specifically last night. We love Carmines and the staff  ❤️"
GustavoD,5,5,5,5,2024-07-06,"The occasion was just a date lunch with my wife. This was our first time here and we loved the place. Every thing was right. The food options were plenty, food was great, service attentive. We definitely will be coming back."
karanD,5,5,5,5,2024-07-05,Always great food always great service would highly recommend it
Stone,5,5,5,5,2024-07-04,Fantastic food and timely service. Knowable wait staff.
Luv2eatout,5,5,5,5,2024-06-30,Food and service were outstanding as always.  Our favorite restaurant on the Eastside.
HinaP,5,5,5,5,2024-06-29,We had a wonderful family dinners at Carmines Bellevue - Steven and the team did an excellent job.  We shall return!
kcfoodie,5,4,5,5,2024-06-27,"We had a lovely dinner to celebrate a birthday. The service is beyond excellent. The food is also extraordinary. However, I ordered a dish with squid pasta and decidedly did not like it. I didn’t notice it on the menu, but I wish I would have been ordered a choice of pasta to alert me it was different. Not only did I not enjoy the taste but it was soggy and had a distinct smell. I should say emphatically that everyone else had an outstanding meal!"
OpenTable Diner,5,5,5,5,2024-06-26,"Carmines never disappoints.  Always fresh, super clean, excellent service, and outstanding food.  Love the place!"
OpenTable Diner,5,5,5,4,2024-06-22,"Great food , excellent service. Specials little bit too expensive . Overall one of the better places in Bellevue."
OpenTable Diner,5,5,5,5,2024-06-22,"Alfredo, our server is the best
Food was outstanding!
Everything = perfect!"
Scotchmo,5,5,3,4,2024-06-22,The patio table near the bar is a great people watching spot … but only having the bartender as server and mixologist led to some delays in ordering and attentive service. A slight adjustment to having at least one busboy checking more often could help. The food was delicious; the cauliflower gratine was superb; an excellent lunch; looking forward to returning.
OpenTable Diner,5,5,5,5,2024-06-19,Absolutely amazing Service and Food .. all positive…
OpenTable Diner,5,5,5,4,2024-06-18,Great place to celebrate graduation! Server was great. Didnt feel rushed at all. Enjoyed the evening.
Ampetrin,5,5,5,5,2024-06-18,"We had 3 different specials, all delicious.  Beautiful comfortable patio !"
Melif1221,5,5,5,5,2024-06-18,The salmon risotto special was amazing. I also enjoyed the beet salad.
munirag,5,5,5,5,2024-06-14,"Celebrated our 32 yr anniversary. Fantastic food, wine and service. Carmine’s never disappoints!! Outstanding"
RodF,5,5,5,5,2024-06-13,Just a perfect place to have dinner in old town Bellevue.
JosephO,5,5,5,5,2024-06-12,"Our steak was a bit underdone, they offered to redo it. We declined so they comped us dessert.
Very loud where we were seated!"
KristieT,5,5,5,5,2024-06-09,"From the time we step into the restaurant, we had excellent service. Our server was very nice and helped us make good decisions ordering since it was our first time there. The food was delicious and homemade pasta was delicious! Since it was my birthday they gave me a slice of tiramisu for dessert which was perfect for the two of us after our meal because the portions were filling. We said we will definitely go back."
pickyeater,4,4,3,2,2024-06-05,We were at Carmine’s to celebrate a special birthday. The team did a lovely job of making the celebrant feel special. Food and service was solid as always.
Biztravlr,5,5,5,5,2024-05-31,"Excellent service, food, reasonably priced for upscale Italian fare. Highly recommended!"
michaelm,4,4,5,4,2024-05-30,"Great place as always!
Thought food was a bit ""down"" this visit.
Service was impeccable as always

Getting a bit pricey !!!
Dinner for 2 with one glass of wine , over $400 !!!!!!!"
OpenTable Diner,5,5,5,5,2024-05-30,"One of my favorite restaurants — food, service and experience is always excellent."
OpenTable Diner,5,5,5,5,2024-05-29,"Great service, consistent quality in food and vast wine selection."
OpenTable Diner,5,5,5,5,2024-05-29,Waiting time was good - did not have to wait long.  Food was delicious and satisfied with service. Will dine again at Carmine’s Bellevue
OpenTable Diner,5,5,5,5,2024-05-26,We went here for our anniversary and the service was amazing! The atmosphere felt like we were at some famous NY Restaurant! All the food was great and the people were great! We will definitely come back!
ShannonS,5,5,5,5,2024-05-23,"Always a fantastic experience at Carmine's! I made a reservation for 2 and ultimately showed up with 3...no problem at all and we were immediately accommodated. The food is consistently beautiful AND delicious, and always an amazing set of specials so that I rarely end up ordering off of the menu. Thank you for always creating the perfect experience whether for business or pleasure!"
OpenTable Diner,5,5,5,5,2024-05-22,"Great experience!  Wonderful attentive staff.  Excellent food presentation, taste and smell.  A bit on the high side but you certainly get what you pay for on this case."
OpenTable Diner,5,4,5,5,2024-05-22,"The food is delicious with a luxurious atmosphere, so we usually visit every anniversary."
IronChefMoosimoto,5,5,5,5,2024-05-20,"Great food, with great specials beyond the regular menu, and excellent service."
OpenTable Diner,5,5,5,5,2024-05-18,"Nice restaurant, greeting, service, and food. Enjoyable dining experience"
DumpTruck,4,5,4,5,2024-05-18,"Great food and service, but watch the wine recommendations. Told the first waiter we wanted a bottle at $100 or less and when the bill came it was $140."
Bill,5,5,5,5,2024-05-18,Outstanding service today. Our waitress was the best. Keep us updated on the specials.
OpenTable Diner,5,5,5,5,2024-05-17,Just outstanding.  The best of the best.  Mamma Mia.
OpenTable Diner,5,5,5,5,2024-05-15,Pleasant atmosphere and amazingly attentive staff. A very rich wine list. There are only pleasant thoughts left.
JWo888,5,5,5,5,2024-05-14,"We enjoyed lunch with wonderful service to celebrate a friend’s birthday.  Each of the items that we ordered was delicious: panzanella salad, lentil soup, minestrone soup and eggplant parmigiana.  Carmine’s is one of my favorite restaurants, because the food and service are always outstanding."
johnm,5,5,5,5,2024-05-13,"Food was excellent as always. Matthew, our server, was extremely knowledgeable."
tomw,5,5,5,5,2024-05-13,"We choose Carmine's for all the special occasions. We went for Mother's Day and everything was superb (as always). Our server, Ron was so wonderful. He was so attentive and so kind to our 9-year-old son. After we ordered wine, our son wanted a soda, but we wouldn't allow another sugary drink since he already had one during the day. Ron suggested some lemon wedges to put in his water to make it extra special & that did the trick, our son was thrilled.

Ron told us about the daily specials and made great recommendations. I mentioned that I wanted to try something new since I always get the crab risotto or the veal. Ron said the halibut was really good, and that they do halibuts really well. It came with on a bed of parmesan risotto with saffron sauce and some veggies. I love their risottos (crab, lobster etc) so I decided on this dish, my husband followed. We absolutely loved it! If you love caesar salad like we do, Carmine's have one of the best caesars around! The dressing has a hint of green like pesto, makes it extra special. They always make up a special plate (kids portion) for our son (spaghetti with one big meatball). They are pretty good about making up a special plate that is not on the menu. Our son once wanted a pepperoni pizza and they made it for him.

We just love this place! Thanks for making our Mother's Day meal special Ron!"
DianeKK,5,5,5,5,2024-05-09,Everyone here was gracious and wonderful to work with. The food was superb and the ambience magnificent!
Amanda,5,5,5,5,2024-05-07,"Excellent burrata special. Delicious! The food and service are always great. Lunch if 2 salads, an appetizer and 2 glasses of wine for $185 is a bit much."
OpenTable Diner,5,5,5,5,2024-05-05,"Food and service are excellent and genuine.  I appreciated the unenforced tips policy.  With such classy and genuine services, I am happy to tip above average to show my party’s appreciation.  It’s a pleasure to dine and entertain at Carmine’s each and every time."
OpenTable Diner,2,2,2,4,2024-05-03,We didn’t quite enjoy our lunch. We came in with high expectation and both service and dishes were not meeting it.
Opentablediner,5,5,5,5,2024-05-03,"food service atmosphere, all top shelf.
they don’t advertise.. they don’t need to .. those in the know , know.
Hard to get a reservation.. book ahead"
oliver,5,5,5,5,2024-05-03,"One of the best restaurants on the West Coast. Service that makes you feel special, food that brings you straight back to Italy."
JoeW,5,5,5,4,2024-05-03,"The food is outstanding, the service was great.  Nice Restaurant and has always been good!"
OpenTable Diner,5,5,5,5,2024-05-03,"The best restaurant on the east side and potentially in all of the city. I love it here. Feels like home, delicious food, elegant and non obtrusive service, in a beautiful setting. Not much more you can ask for."
Bluewa,5,5,5,5,2024-05-02,"Luxury dining experience.
Everything is to the nines.
Serene"
SteveD,5,5,4,3,2024-05-01,"The food is consistently good.  (The Bellevue location is every bit as good as Pioneer Square).  The only thing I would fault is that the service seemed a bit rushed.  It wasn't because they needed the tables, I was eating late.  But I don't expect to be out of there in an hour when I am eating food of that quality."
Erinb,4,5,5,5,2024-04-30,"Lovely, though front of house experience was not fluid…"
OpenTable Diner,5,5,5,5,2024-04-26,"Everything was perfect the food the ambiance @ specially the waiter Jeff he was super good. 
And the gesture of the restaurant when they know it’s our anniversary. I recommend the restaurant it’s a 5 stars."
OpenTable Diner,1,1,2,2,2024-04-25,"$75 for a lobster pasta?! It was the special (price was not mentioned - shame on us for not asking, I guess)."
OpenTable Diner,4,4,5,4,2024-04-25,"Food and service were wonderful as
Always. Great place for a late lunch. ￼"
cyjg,5,5,5,5,2024-04-24,"Fantastic!  From start to finish!  Bravo!
Food, service, ambiance.  My favorite"
BobChamp,5,5,5,5,2024-04-24,"Great restaurant
Server was excellent
Food was great"
CesarK,5,5,5,4,2024-04-23,"Best Italian in the eastside. Great, food and service!"
OpenTable Diner,5,5,5,5,2024-04-20,"Amazing food, great service. Halibut was cooked to perfection. Served made great suggestions!"
madison1223,1,1,1,4,2024-04-19,Server very pushy and intense. No time to even chat - like we had to know what to order almost immediately with him coming back within a few minutes. Was there for a business meeting and it was not productive with the constant nagging. I won’t return. This used to be a favorite.
OpenTable Diner,5,5,5,5,2024-04-18,"Best restaurant in the PNW, very consistent and the best service in Seattle"
OpenTable Diner,5,5,5,4,2024-04-18,"First time eating here and the experience was great. Matthew was our waiter and he was on point, very thorough, attentive and polite."
SusanB,5,5,5,5,2024-04-17,"Our first time at Carmine's after hearing glowing comments from others. Did not disappoint. It was a birthday for us and Carmine's staff helped us feel special in our celebration. We had a truly delicious meal, outstanding service and great recommendations from our server. Will definitely dine at Carmine's again....we live an hour away...and only wish we lived closer."
DanielD,5,5,5,5,2024-04-17,If you are a fan of Il Terrazzo in Seattle you will be excited to discover a very similar experience in Bellevue.
OpenTable Diner,5,5,5,4,2024-04-17,Just too noisy -& wanted to be on at area but was told that we had to connect with the restaurant directly but we loved Carmines so it’s all good
JillG,5,5,5,5,2024-04-14,"Fantastic food, atmosphere and service! Ally was our waitress and she was INCREDIBLE!  She made the birthday celebration extra special!!!"
OpenTable Diner,4,4,1,4,2024-04-13,Service was a bit slow and not the best for the price.
OpenTable Diner,3,5,1,2,2024-04-13,The food is amazing. The service was not. There was a wedding party of 40 which created a tremendous amount of noise and our waiter focused his attention on them and neglected us. Very disappointed for our first time there.
BobS,5,5,5,5,2024-04-12,One of my favorites in Bellevue. Excellent for business lunches and evening dining with friends.
KevinN,5,5,5,4,2024-04-09,Loud but great food and service. We definitely would go back.
jane,5,5,5,5,2024-04-07,"As usual, the food and service did not disappoint.  This is why we continue to return."
anne,5,5,5,4,2024-04-05,Waiters have knowledgeable recommendations and want you to enjoy yourself. The food is always great and tried a new dessert.  An Italian vanilla cake w marscapone and meringue on top.  Great and unusual!
OpenTable Diner,5,4,5,5,2024-04-05,"Reservation wasn't easy they seem to be booked up for many of the times w tried to reserve.
Parking is a bit confusing but worked very well once figured out, you enter from a side street and they validated no issue.
Seated quickly and wait staff was great and very quick to refill beverages.
Food was good "" Osso Buco"" is what we came for and it was good but I wouldn't order it again and the others at the table said the food was good too. "" Good too"" is another way of saying OK however not amazing! The prices are a little pricey but we have paid more for worse.
We give the highest marks to the wait staff....Attention to detail was amazing.
After about an hour it did get noisy in our opinion.
The best way for us to reward a restaurant is to say WE WILL BE BACK,"
DavidMB,5,5,5,5,2024-04-04,"In a word: fantastic. The service was friendly, polite, and efficient. The ambiance was lovely, although as noted on the noise level question, there were numerous, ummm, lively conversations throughout the restaurant. The food, however, was the highlight and was absolutely delicious. I ordered the Anatra Arosto Alle Ciliege (dry-aged duck) medium and the cook was spot-on. My fiancée ordered the fish special, which in this case was lightly battered halibut, and said that hers was perfect as well. They also surprised us with a congratulatory dessert in celebration of our upcoming nuptials. 

Carmine's is not inexpensive, but it is worth every penny."
JeanneB,5,5,5,5,2024-03-29,Wonderful meal with delightful service. Makes any meal feel  like a celebration
OpenTable Diner,5,5,5,5,2024-03-29,Legacy family restaurant continues to impress. Our waiter Matthew was outstanding. Food and bev spot on as usual.
Foodie168,5,5,5,5,2024-03-28,Delicious halibut special and filet mignon was excellent too. Appreciate Carmine’s takes into account my gluten free and low carb needs. My filet mignon came with extra veggies instead of risotto or pasta like I asked for. Thanks.
OpenTable Diner,5,5,5,5,2024-03-24,"Carmine’s never disappoints! Impeccable service, outstanding cocktails, and delicious food. Every time."
OpenTable Diner,3,5,2,4,2024-03-23,"We went to celebrate my daughter’s birthday. We were a group of 5 with an 8 pm reservation. While the food was incredible, our server couldn’t have been more snide and inattentive. He greeted us, asked about drinks and walked away before we could order because my daughter asked about mocktails. He came back about 20 minutes later and we ordered drinks, a bottle of wine and appetizers. Our appetizers were delivered before our wine was opened. He just left the unopened bottle of wine on the table. We were nearly 50 minutes into our reservation time before the wine was opened and served.

I’ve never spent $600 on a dinner to be treated so poorly. The consensus across the board was excellent food (except the crab risotto which was fishy),beautiful and festive atmosphere, but not worth being treated like we’re beneath another person.

Edit: The owners from Carmine contacted me this morning. They could not have been more apologetic about our experience, and we had a wonderful conversation. While it’s disappointing to have a bad experience, I really appreciate the way they handled it and we would return again."
LauraK,3,3,4,4,2024-03-22,"We tried the vongole and the rib eye/risotto special. The food was good, but it was too salty for my taste. I even requested less salt, but it was still too much."
OpenTable Diner,5,5,5,5,2024-03-21,What a gem in the heart of Bellevue. Old fashioned charm and classic elevated Itallian.
Travelerswife,5,5,5,5,2024-03-15,Always excellent food and service:) our go to place!
